cluster,target,spearman_r,spearman_p,n_cells
KO_DM,Tmtc2,0.04053051340643239,0.23077175800541944,876
KO_DM,Pfkfb3,0.032193587145146606,0.341234275988164,876
KO_DM,Lpgat1,0.02071542783685357,0.5403320683847128,876
KO_DM,Rpl6,-0.0020926684832545147,0.9506831138627563,876
KO_DM,Itga8,0.013192982552767732,0.6965838415058846,876
KO_DM,Creb5,0.04297540076383077,0.20382592784952924,876
KO_DM,Mme,0.010919384867429834,0.7468978878779684,876
KO_DM,Rftn1,0.021055203631884324,0.5337076156723009,876
KO_DM,Camk1d,-0.0003003395029061677,0.9929176348215767,876
KO_DM,Commd10,0.029617251373465946,0.3812850542244621,876
KO_DM,Hlf,0.02041755802435611,0.5461730766392432,876
KO_DM,Celf2,0.03191290818499007,0.3454623112479336,876
KO_DM,Mtmr9,-0.02236686822917453,0.5085249079533578,876
KO_DM,Csmd1,0.09185210699394546,0.0065194113229836165,876
KO_DM,Wwox,0.03002736777695207,0.37472361977403223,876
KO_DM,Fry,-0.002293769971225848,0.9459507800331268,876
KO_DM,Gm16599,-0.02920179167581129,0.3880032746374985,876
KO_DM,Pcsk6,-0.06485784840969151,0.05499740998425967,876
KO_DM,Arhgef6,0.08827740144050053,0.00894505883326165,876
KO_DM,Ppp1r2,-0.02402395051981702,0.47762277482408977,876
KO_DM,Coro2a,0.034047648498070085,0.3141408258903685,876
KO_DM,Ntn4,0.040377340950975116,0.23254031688496749,876
KO_DM,Adcy5,0.009322283248247049,0.7829118443603195,876
KO_DM,Cd46,-0.01698551189604483,0.6156368308001605,876
KO_DM,Pak3,0.007955124644220943,0.8141173701416602,876
KO_DM,Ehbp1,0.04427399103594865,0.190479694551174,876
KO_DM,Mob3b,-0.035395757451292864,0.29535295139283,876
KO_DM,Btn1a1,0.02850341790299348,0.39945737508160195,876
KO_DM,Tmtc1,-0.000102821172454837,0.9975753255495781,876
KO_DM,Ltbp1,0.04504411151656958,0.18287450938807034,876
KO_DM,Efna5,0.01590752536144995,0.6382283995924476,876
KO_DM,Ano3,-0.0273392663426615,0.41899614631726734,876
KO_DM,Plag1,-0.055256352721518784,0.10218490962930839,876
KO_DM,Gna14,-0.016661422060876258,0.6223919948455139,876
KO_DM,Thbs1,0.013022256507908128,0.7003192282107509,876
KO_DM,Mrps6,0.04446583481916268,0.18856377941649521,876
KO_DM,Rcbtb2,-0.0008723705446050268,0.9794304631629125,876
KO_DM,Pgm5,0.08297160606542353,0.014031128628483538,876
KO_DM,Cenpp,0.029763827534334455,0.3789319468902037,876
KO_DM,Kcnk5,0.002993762436271734,0.929494421185395,876
KO_DM,Ank3,0.046272835186541135,0.17120934015850298,876
KO_DM,Il15,0.10758474734592482,0.0014280003552907495,876
KO_DM,Col11a1,0.10756991901389842,0.0014301857607966137,876
KO_DM,Pvt1,-0.009957256836597891,0.7685329681641101,876
KO_DM,Arhgap6,0.053663447078850374,0.11247440994249416,876
KO_DM,Ctnnd2,0.01779446509934654,0.5989175997127094,876
