source,target,coef_mean,coef_abs,p,-logp
Tfcp2l1,Ccdc162,0.017598707,0.017598707,6.173098639377138e-08,7.209496783425742
Batf3,Ccdc162,0.004399378,0.004399378,8.553532655543725e-10,9.067854482237166
Bcl11b,Ccdc162,0.006264893,0.006264893,2.0816454401177545e-07,6.6815932404899225
Myb,Ccdc162,0.025336526,0.025336526,2.673085017138634e-06,5.572987228341475
Fos,Ccdc162,0.021066606,0.021066606,3.8637344170617044e-07,6.41299273349066
Mlxipl,Ccdc162,0.0034012434,0.0034012434,6.861051389078205e-07,6.163609327808189
Stat4,Ccdc162,-0.0022092601,0.0022092601,0.031085912500776653,1.5074363797600192
Esrrg,Ccdc162,0.018947065,0.018947065,1.3146526103838236e-05,4.881188991907925
Pgr,Ccdc162,0.02799798,0.02799798,8.69248240628269e-06,5.060856179662487
Tfec,Ccdc162,0.008675076,0.008675076,1.341861806857158e-09,8.872292208168295
Pparg,Ccdc162,0.0007779511,0.0007779511,0.10414116353526924,0.9823775744025576
Mitf,Ccdc162,-0.0017931137,0.0017931137,0.007207495154392446,2.1422156409163526
Zbtb16,Ccdc162,0.007881086,0.007881086,2.2806882896623e-08,7.6419340673451135
Mef2c,Ccdc162,-0.013087224,0.013087224,1.1583734162828223e-06,5.936151417733733
Meis1,Ccdc162,0.012126747,0.012126747,0.00048019779138748926,3.3185798417601076
Foxp3,Ccdc162,-0.0007257434,0.0007257434,0.4171363743946408,0.37972193791706665
Elf5,Ccdc162,-0.017226588,0.017226588,7.091963706552566e-06,5.149233495587234
Gata3,Ccdc162,0.022382295,0.022382295,7.5802124250412085e-06,5.120318623691094
Hes1,Ccdc162,0.011206742,0.011206742,2.6119578055445774e-07,6.583033843081179
Prdm16,Ccdc162,0.002076244,0.002076244,0.0025566487892986446,2.59232892756446
Mecom,Ccdc162,0.0006006381,0.0006006381,0.22602518557314136,0.6458431655162361
Ar,Ccdc162,-0.007003409,0.007003409,5.39402273787068e-05,4.26808722716178
Pax5,Ccdc162,0.01201882,0.01201882,2.6417997468899284e-06,5.578100105766458
Irf4,Ccdc162,0.0046244175,0.0046244175,2.8940396737560367e-05,4.538495519528239
Fli1,Ccdc162,-0.002372375,0.002372375,0.013894033674657226,1.8571716528706106
Bcl11a,Ccdc162,-0.008265432,0.008265432,0.00031507805254628394,3.5015818475083464
Ppargc1a,Ccdc162,-0.0021180697,0.0021180697,0.011919588573240094,1.9237387348185375
Pou2f2,Ccdc162,0.010764757,0.010764757,6.622814724515648e-07,6.178957394318351
Creb5,Ccdc162,-0.0057206014,0.0057206014,0.00454234922180878,2.34271947969923
Zbtb7c,Ccdc162,-0.0057773753,0.0057773753,0.0006807615263327106,3.167004996656651
Foxa1,Ccdc18,-0.0014759091,0.0014759091,0.13063829249649947,0.8839295046660174
Erg,Ccdc18,0.002525986,0.002525986,0.0020507908171142333,2.688078635880334
Tfap2b,Ccdc18,0.0016446605,0.0016446605,0.11318867596670946,0.9461970202429174
Irf8,Ccdc18,-0.002364732,0.002364732,0.0018838763881791017,2.7249475971338684
Nr4a3,Ccdc18,-0.005793256,0.005793256,6.473245839222714e-10,9.18887789914761
Mbd1,Ccdc18,-0.00044381266,0.00044381266,0.538634350572477,0.2687059535825621
Plagl1,Ccdc18,-0.0017688435,0.0017688435,0.12797179486427032,0.8928857388255187
Maf,Ccdc18,-0.0012912859,0.0012912859,0.036618506362410534,1.4362993741739294
Ehf,Ccdc18,0.014574812,0.014574812,9.172372958032546e-13,12.037518294726828
Egr1,Ccdc18,0.002160026,0.002160026,4.331410686015284e-10,9.363370636354581
Batf3,Ccdc18,-0.00047758914,0.00047758914,0.4849538824844062,0.3142995594077103
Bcl11b,Ccdc18,0.0010589522,0.0010589522,0.005727988051557492,2.2419978966268874
Fos,Ccdc18,0.0011195176,0.0011195176,0.18891688099521164,0.7237292332083509
Mlxipl,Ccdc18,0.0032810748,0.0032810748,1.871349403110589e-06,5.7278451170024915
Lmx1b,Ccdc18,0.01315667,0.01315667,1.0295282939337262e-10,9.987361713416579
Pgr,Ccdc18,0.0069607752,0.0069607752,7.208857197864298e-06,5.142133577444089
Tfec,Ccdc18,-0.0013900001,0.0013900001,0.006043883100621434,2.2186839442744457
Mitf,Ccdc18,0.0074115684,0.0074115684,5.951973417085234e-13,12.225339017119264
Runx3,Ccdc18,0.0001832856,0.0001832856,0.713879037488163,0.14637537057940955
Tbx15,Ccdc18,-7.129733e-05,7.129733e-05,0.9202888659980578,0.03607583220016688
Ikzf3,Ccdc18,-0.0021521267,0.0021521267,0.0004451518511128546,3.351491816320352
