target,coef_mean_KO_DM,coef_abs_KO_DM,p_KO_DM,coef_mean_WT_DM,coef_abs_WT_DM,p_WT_DM,membership
B2m,-0.14641091,0.14641091,1.2541453859739423e-11,,,,KO_DM_only
Pfkfb3,0.06959241,0.06959241,1.6551072159207255e-12,,,,KO_DM_only
Ptn,0.15498099,0.15498099,2.7063763913412025e-23,,,,KO_DM_only
Fam168a,-0.06849254,0.06849254,8.833906846826917e-11,,,,KO_DM_only
Nrg2,0.1571383,0.1571383,8.065682529993096e-17,,,,KO_DM_only
Etv6,-0.0854667,0.0854667,1.1562397043988041e-06,,,,KO_DM_only
Rcbtb2,0.06703357,0.06703357,2.3273424368818685e-08,,,,KO_DM_only
St6gal1,-0.06746696,0.06746696,2.2041951118121244e-11,,,,KO_DM_only
Nudt4,0.06467565,0.06467565,6.221188118360263e-11,,,,KO_DM_only
Abca1,0.06392686,0.06392686,1.3178798752541664e-12,,,,KO_DM_only
Rps2,-0.06557801,0.06557801,1.0699444960187321e-10,,,,KO_DM_only
Patl2,-0.06485937,0.06485937,7.476366997376456e-15,,,,KO_DM_only
Zbtb7c,-0.06602825,0.06602825,8.609779911069476e-08,,,,KO_DM_only
Runx1,0.16670693,0.16670693,1.22664800835131e-09,,,,KO_DM_only
Sgms1,-0.06666801,0.06666801,9.088782807044408e-06,,,,KO_DM_only
Alcam,0.06682297,0.06682297,1.5203345030982935e-06,,,,KO_DM_only
Lrg1,,,,0.058647532,0.058647532,3.901113339860814e-17,WT_DM_only
Rpl21,,,,-0.06232427,0.06232427,4.649965623805973e-12,WT_DM_only
Fam120c,,,,0.0643439,0.0643439,9.73144733060896e-13,WT_DM_only
Nox4,,,,0.0646195,0.0646195,4.340424600827631e-10,WT_DM_only
Gpc4,,,,0.06555855,0.06555855,1.2349735255346398e-11,WT_DM_only
Chn2,,,,0.06779867,0.06779867,5.015639138212613e-12,WT_DM_only
2610307P16Rik,,,,0.06912923,0.06912923,2.490149349340416e-12,WT_DM_only
Rgs20,,,,0.0697585,0.0697585,1.9375582673326063e-11,WT_DM_only
Rpl38,,,,-0.05810743,0.05810743,7.163091588135649e-11,WT_DM_only
Cep290,,,,0.06993926,0.06993926,3.764560644545239e-09,WT_DM_only
Tgfbr3,,,,0.07323797,0.07323797,8.435992577527206e-10,WT_DM_only
Setbp1,,,,0.07188918,0.07188918,3.089387770632907e-08,WT_DM_only
Rps28,,,,-0.07191208,0.07191208,3.3370049810721482e-15,WT_DM_only
Rpl9,,,,-0.07479883,0.07479883,5.503858981505071e-12,WT_DM_only
Btg3,,,,0.07579318,0.07579318,1.5087398096754058e-12,WT_DM_only
Thrb,,,,0.078065835,0.078065835,1.9605912909726215e-12,WT_DM_only
Nhsl1,,,,0.08489988,0.08489988,1.1651748681198978e-15,WT_DM_only
Barx2,,,,0.09218554,0.09218554,2.5493021478399007e-12,WT_DM_only
Ror1,,,,0.09852076,0.09852076,4.3572556175488425e-12,WT_DM_only
Ank,,,,0.10193639,0.10193639,1.252881937227819e-13,WT_DM_only
Basp1,,,,0.070756465,0.070756465,1.449673682752675e-09,WT_DM_only
Boc,,,,0.08661456,0.08661456,1.1351519091292865e-07,WT_DM_only
Ablim1,,,,0.057363547,0.057363547,1.4793449400005857e-10,WT_DM_only
1110019D14Rik,,,,0.058029592,0.058029592,2.4412239529904916e-12,WT_DM_only
Ednra,0.088682175,0.088682175,7.192205091248655e-13,0.07950541,0.07950541,2.9001413739444466e-12,both
Osmr,0.19981621,0.19981621,1.1152793289390373e-13,0.12920345,0.12920345,7.327436668175444e-14,both
Dst,0.19349642,0.19349642,2.2308692009960795e-13,0.12403776,0.12403776,1.1465124189531885e-13,both
Myo9a,-0.18759061,0.18759061,7.3161252713261466e-09,-0.074803926,0.074803926,1.4243596307423432e-08,both
Gabrg3,-0.18495698,0.18495698,3.0590531626745285e-06,-0.09348297,0.09348297,3.0281709606045624e-07,both
Cxadr,0.05995949,0.05995949,3.798524743758885e-07,0.109415874,0.109415874,3.1415459560594177e-13,both
Rb1,0.18178022,0.18178022,5.768105299818878e-13,0.1247382,0.1247382,3.6322910620887154e-13,both
Slc28a3,0.17896082,0.17896082,3.3637472498758574e-13,0.16828603,0.16828603,2.8165840292667725e-15,both
Rpl6,-0.17810227,0.17810227,1.702372551561497e-14,-0.08506691,0.08506691,3.6688294288242515e-10,both
Rasgef1c,0.1775397,0.1775397,1.301967510715933e-20,0.08112785,0.08112785,1.1610521321126565e-12,both
Btn1a1,0.17599118,0.17599118,1.0289298239738273e-14,0.14177711,0.14177711,1.5351848704622568e-14,both
Itga8,0.1734818,0.1734818,7.845487838708632e-15,0.15261589,0.15261589,2.5097380332534034e-13,both
Ltbp1,0.06452929,0.06452929,3.321735476315885e-07,0.07565385,0.07565385,1.3012639426933978e-09,both
Wwox,0.17234594,0.17234594,1.180508278939791e-10,0.119997635,0.119997635,2.9401079862461446e-13,both
Egfr,0.17206691,0.17206691,1.3615669206174074e-15,0.16805598,0.16805598,4.06799769895735e-18,both
Shroom3,0.17151688,0.17151688,1.311530045479818e-10,0.14334895,0.14334895,7.353972737337091e-13,both
Ppp1r2,0.1706868,0.1706868,1.571252353722422e-12,0.06668801,0.06668801,1.0845895249184702e-07,both
Rora,0.16519484,0.16519484,9.16621594238265e-13,0.08568338,0.08568338,1.6150560220195527e-14,both
Coro2a,0.16408965,0.16408965,1.1798339518016708e-12,0.057186246,0.057186246,9.086783435069195e-10,both
Prlr,0.16281036,0.16281036,1.0381249656639364e-13,0.11366328,0.11366328,2.4506280293856494e-15,both
Txnip,0.067372665,0.067372665,0.000762284182053999,0.09019968,0.09019968,1.5035438087705722e-10,both
Dach1,0.16051275,0.16051275,1.6058262107548312e-18,0.1430301,0.1430301,2.1474503081159284e-13,both
Fut9,0.1999795,0.1999795,1.1152947958163967e-14,0.096104495,0.096104495,1.6099291704509566e-09,both
Fam20a,-0.21255332,0.21255332,1.318213354633416e-12,0.060751855,0.060751855,5.809075043275291e-06,both
Itpr2,0.21283118,0.21283118,1.2800183951198916e-15,0.13756655,0.13756655,2.7144304604394952e-14,both
Arhgef6,0.22612523,0.22612523,9.651463990175531e-15,0.113430254,0.113430254,2.7138097202428427e-12,both
Gpc6,0.6061071,0.6061071,1.329004866071009e-15,0.30821657,0.30821657,3.830442410748264e-12,both
Prkg1,-0.42756015,0.42756015,1.0679250646901608e-15,-0.12553294,0.12553294,9.842821728233196e-11,both
Deptor,0.40993696,0.40993696,4.142945549363628e-18,0.18251792,0.18251792,1.8060338320075702e-14,both
Slc5a7,0.40506595,0.40506595,9.376215923778536e-15,0.36261222,0.36261222,1.025512227351135e-15,both
Pde7b,0.34069365,0.34069365,2.2123876658524964e-17,0.1562689,0.1562689,1.0824585694580225e-13,both
Rspo1,-0.3099857,0.3099857,1.1655194750755555e-18,-0.08275629,0.08275629,3.7248770548564684e-13,both
Mtmr9,0.30958742,0.30958742,3.806169351418394e-16,0.1436024,0.1436024,1.0130331356501903e-13,both
Thsd4,0.30958354,0.30958354,2.6412570485646596e-14,0.13624044,0.13624044,9.317628467648997e-13,both
Erbb4,0.30325356,0.30325356,3.915650613881555e-12,0.18153709,0.18153709,1.909358143944568e-15,both
Papln,0.301066,0.301066,5.859481720555122e-15,0.14366177,0.14366177,4.976407482846714e-13,both
H2-K1,-0.29211515,0.29211515,1.292519719100576e-13,-0.15872851,0.15872851,1.4075169637367424e-12,both
Ctnnd2,0.2655262,0.2655262,2.414233715074891e-15,0.14891091,0.14891091,7.846356342705072e-13,both
Rftn1,0.25137165,0.25137165,8.379774269291894e-16,0.16431358,0.16431358,2.7441160534055836e-14,both
Pdlim3,0.25090578,0.25090578,5.163743315650624e-13,0.06658988,0.06658988,1.2799330028748907e-07,both
Thada,-0.24805877,0.24805877,5.4055026240097116e-14,-0.105595805,0.105595805,9.85055518308612e-12,both
Maml2,0.2457819,0.2457819,6.48333458434901e-15,0.18988733,0.18988733,5.702105782076585e-16,both
Gna14,0.23608474,0.23608474,5.3909457149178e-15,0.19338965,0.19338965,2.612041501415696e-16,both
H2-Q7,-0.23605877,0.23605877,1.8679693455053132e-16,-0.07156029,0.07156029,2.105472675212992e-15,both
Fgfr1,0.23582882,0.23582882,6.780729304803859e-16,0.073628716,0.073628716,2.8795080938283618e-08,both
Pde4b,0.23357423,0.23357423,5.419642930834592e-16,0.13187931,0.13187931,3.655062504347091e-14,both
Ano1,0.23237674,0.23237674,1.3641427355420654e-12,0.10696969,0.10696969,1.333791091930259e-11,both
Rps8,-0.068325125,0.068325125,1.790604459504162e-05,-0.12902234,0.12902234,3.538514883376611e-13,both
Hivep3,0.15713125,0.15713125,2.692430250487446e-11,0.07384514,0.07384514,1.0648525314828935e-09,both
